epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.538769006729126,0.6696574091911316,1e-05,0.6753731369972229,0.622355580329895
1,0.6003197431564331,0.671272337436676,1e-05,0.7238805890083313,0.5814861059188843
2,0.607513964176178,0.6476104259490967,1e-05,0.6679104566574097,0.603341817855835
3,0.6067146062850952,0.6331406235694885,1e-05,0.6156716346740723,0.6328186988830566
4,0.6418864727020264,0.6311100721359253,1e-05,0.6940298676490784,0.5861873030662537
5,0.6027178168296814,0.6522239446640015,1e-05,0.6305969953536987,0.6310490965843201
6,0.6266986131668091,0.6346598267555237,1e-05,0.6641790866851807,0.5953852534294128
7,0.6187050342559814,0.6112435460090637,1e-05,0.64552241563797,0.6040980815887451
8,0.5603517293930054,0.6407912373542786,1e-05,0.6492537260055542,0.612286388874054
9,0.6650679707527161,0.621225118637085,1e-05,0.5895522236824036,0.6683847308158875
10,0.6211031079292297,0.6452269554138184,1e-05,0.7052238583564758,0.5636340379714966
11,0.6778576970100403,0.6272746920585632,1e-05,0.7350746393203735,0.5532875061035156
12,0.7442046403884888,0.6021652817726135,1e-05,0.6902984976768494,0.5710176229476929
13,0.6954436302185059,0.6239060163497925,1e-05,0.6940298676490784,0.5660293698310852
14,0.7266187071800232,0.6053489446640015,1e-05,0.7089552283287048,0.5613674521446228
15,0.7130295634269714,0.6135154366493225,1e-05,0.7350746393203735,0.5444729328155518
16,0.649080753326416,0.616710364818573,1e-05,0.6231343150138855,0.6326104402542114
17,0.7026379108428955,0.5943781733512878,1e-05,0.7350746393203735,0.5417065620422363
18,0.6378896832466125,0.5860650539398193,1e-05,0.753731369972229,0.5365703105926514
19,0.6011191010475159,0.6185122728347778,1e-05,0.6865671873092651,0.5753676295280457
20,0.662669837474823,0.6067480444908142,1e-05,0.7313432693481445,0.5631534457206726
21,0.7122302055358887,0.5967826843261719,1e-05,0.6977611780166626,0.5716999769210815
22,0.6107114553451538,0.5794114470481873,1e-05,0.7126865386962891,0.5580711960792542
23,0.6059152483940125,0.5691668391227722,1e-05,0.6940298676490784,0.5704700946807861
24,0.5859312415122986,0.5971366167068481,1e-05,0.7276119589805603,0.5565530061721802
25,0.6282973885536194,0.5958887934684753,1e-05,0.7425373196601868,0.5488144159317017
26,0.6179056763648987,0.6186237335205078,1e-05,0.6977611780166626,0.5609236359596252
27,0.6354916095733643,0.5852685570716858,1e-05,0.75,0.5382565259933472
28,0.6522781848907471,0.5778937935829163,1e-05,0.7425373196601868,0.5387431979179382
29,0.5867305994033813,0.5694140195846558,5e-06,0.75,0.5378601551055908
30,0.6994404196739197,0.5515944957733154,5e-06,0.746268630027771,0.5368437767028809
31,0.6514788269996643,0.576451301574707,5e-06,0.7201492786407471,0.5466770529747009
32,0.6322941780090332,0.5654542446136475,5e-06,0.7201492786407471,0.5763920545578003
33,0.6386890411376953,0.5521848201751709,5e-06,0.7313432693481445,0.558173656463623
34,0.5579536557197571,0.5749303102493286,5e-06,0.7164179086685181,0.5524051785469055
35,0.7066347002983093,0.5593240857124329,5e-06,0.7313432693481445,0.5471634268760681
36,0.6730615496635437,0.5584955811500549,5e-06,0.7388059496879578,0.5340242981910706
37,0.6770583391189575,0.5553404092788696,5e-06,0.7388059496879578,0.5356959104537964
38,0.727418065071106,0.5618082284927368,5e-06,0.7313432693481445,0.5357854962348938
39,0.7601918578147888,0.5487827658653259,5e-06,0.7313432693481445,0.5468134880065918
