epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5765306353569031,1.9409642219543457,1e-05,0.6147540807723999,0.7357351183891296
1,0.581632673740387,1.8264302015304565,1e-05,0.5573770403862,0.8916002511978149
2,0.5928571224212646,1.7445646524429321,1e-05,0.5245901346206665,0.9604238867759705
3,0.6204081773757935,1.5371125936508179,1e-05,0.5081967115402222,1.0104057788848877
4,0.6030611991882324,1.686164379119873,1e-05,0.5409836173057556,0.9961824417114258
5,0.6489796042442322,1.385652780532837,1e-05,0.5491803288459778,0.9739173054695129
6,0.6193877458572388,1.5337231159210205,1e-05,0.5573770403862,0.9382296800613403
7,0.6122449040412903,1.5483238697052002,1e-05,0.5573770403862,0.9386758208274841
8,0.655102014541626,1.395704746246338,1e-05,0.5573770403862,0.9303526878356934
9,0.6540816426277161,1.3968738317489624,1e-05,0.5409836173057556,0.9501884579658508
10,0.6632652878761292,1.3032222986221313,1e-05,0.5491803288459778,0.9322822093963623
11,0.672448992729187,1.2661480903625488,5e-06,0.5491803288459778,0.9654573202133179
12,0.6734693646430969,1.299123764038086,5e-06,0.5491803288459778,0.9475624561309814
