epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7087198495864868,0.614536464214325,0.001,0.7662337422370911,0.5073341727256775
1,0.795918345451355,0.44765228033065796,0.001,0.7142857313156128,0.5551300048828125
2,0.7968460321426392,0.40928977727890015,0.001,0.8138527870178223,0.4136444330215454
3,0.8654916286468506,0.3226371705532074,0.001,0.8441558480262756,0.4008198082447052
4,0.8831169009208679,0.2899710536003113,0.001,0.822510838508606,0.4256899356842041
5,0.8840445280075073,0.29152435064315796,0.001,0.826839804649353,0.3964731693267822
6,0.8877550959587097,0.25534147024154663,0.001,0.8571428656578064,0.3752346336841583
7,0.9276437759399414,0.21253110468387604,0.001,0.8441558480262756,0.3641219735145569
8,0.921150267124176,0.19954867660999298,0.001,0.8441558480262756,0.3698224723339081
