epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4980016052722931,1.006957769393921,0.001,0.31343284249305725,1.49972665309906
1,0.5555555820465088,0.7275956869125366,0.001,0.5820895433425903,0.6435028314590454
2,0.5555555820465088,0.7033010721206665,0.001,0.5820895433425903,0.6790840029716492
3,0.5587530136108398,0.687338650226593,0.001,0.31343284249305725,1.4387997388839722
4,0.5563549399375916,0.6892478466033936,0.001,0.41044774651527405,0.8709794282913208
5,0.5171862244606018,0.6722851991653442,0.001,0.40671640634536743,0.837998628616333
6,0.5899280309677124,0.6674651503562927,0.001,0.5559701323509216,0.6908304691314697
7,0.5275779366493225,0.6770472526550293,0.001,0.7089552283287048,0.5999179482460022
8,0.6618704795837402,0.6529650092124939,0.001,0.7164179086685181,0.6038488745689392
9,0.554756224155426,0.6571721434593201,0.001,0.7014925479888916,0.5886349081993103
10,0.6059152483940125,0.6619390845298767,0.001,0.5298507213592529,0.7063457369804382
11,0.5747402310371399,0.6708685755729675,0.001,0.6753731369972229,0.6077328324317932
12,0.5499600172042847,0.6526448726654053,0.001,0.3470149338245392,0.8568058013916016
13,0.5307753682136536,0.6733929514884949,0.001,0.7238805890083313,0.5788412690162659
14,0.6378896832466125,0.6635491251945496,0.001,0.5671641826629639,0.6830902695655823
15,0.6346922516822815,0.6432900428771973,0.001,0.444029837846756,0.839887797832489
16,0.6250998973846436,0.640524685382843,0.001,0.5111940503120422,0.7975696921348572
17,0.5443645119667053,0.6617467999458313,0.001,0.6156716346740723,0.6421757936477661
18,0.5555555820465088,0.6524262428283691,0.001,0.4701492488384247,0.7422335147857666
19,0.607513964176178,0.659296989440918,0.001,0.6567164063453674,0.6291484832763672
