epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3235294222831726,0.0010000000474974513,1.8455252647399902,0.43119266629219055,1.3674678802490234
1,0.4313725531101227,0.0010000000474974513,1.4197241067886353,0.4954128563404083,1.1846789121627808
2,0.5254902243614197,0.0010000000474974513,1.1516586542129517,0.5688073635101318,1.1053003072738647
3,0.5921568870544434,0.0010000000474974513,0.9395373463630676,0.60550457239151,1.0236892700195312
4,0.5882353186607361,0.0010000000474974513,0.9333727955818176,0.5963302850723267,1.080872893333435
5,0.6725490093231201,0.0010000000474974513,0.8044065833091736,0.6146789193153381,1.0230858325958252
6,0.6450980305671692,0.0010000000474974513,0.8545408844947815,0.6330274939537048,1.0249285697937012
7,0.6882352828979492,0.0010000000474974513,0.7149237990379333,0.6605504751205444,0.9930524230003357
8,0.727450966835022,0.0010000000474974513,0.6772369146347046,0.60550457239151,0.9510729908943176
9,0.727450966835022,0.0010000000474974513,0.684952974319458,0.6605504751205444,1.0031394958496094
10,0.729411780834198,0.0010000000474974513,0.6198180317878723,0.6330274939537048,1.1342494487762451
11,0.7490196228027344,0.0010000000474974513,0.5626357793807983,0.6238532066345215,1.0677682161331177
12,0.7607843279838562,0.0010000000474974513,0.5836641788482666,0.60550457239151,1.169077754020691
13,0.7921568751335144,0.0010000000474974513,0.47832754254341125,0.6697247624397278,1.0689538717269897
14,0.7941176295280457,0.0010000000474974513,0.46584782004356384,0.6330274939537048,1.1017231941223145
15,0.7862744927406311,0.0010000000474974513,0.4995467960834503,0.642201840877533,0.9841662049293518
16,0.7803921699523926,0.0005000000237487257,0.5089219808578491,0.6605504751205444,0.9850788116455078
17,0.7862744927406311,0.0005000000237487257,0.5290569067001343,0.6238532066345215,1.004105567932129
18,0.7803921699523926,0.0005000000237487257,0.4530627727508545,0.6513761281967163,1.013169288635254
19,0.7980391979217529,0.0005000000237487257,0.4664222002029419,0.6330274939537048,1.0145047903060913
20,0.8392156958580017,0.0005000000237487257,0.39137381315231323,0.6238532066345215,1.0659879446029663
21,0.8333333134651184,0.0005000000237487257,0.3824479281902313,0.642201840877533,1.054773211479187
22,0.8176470398902893,0.0005000000237487257,0.43923163414001465,0.642201840877533,1.0469081401824951
23,0.8529411554336548,0.0002500000118743628,0.38164982199668884,0.6330274939537048,1.060072898864746
