epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6759999990463257,9.999999747378752e-06,0.15964515507221222,0.7238805890083313,0.14461420476436615
1,0.6935999989509583,9.999999747378752e-06,0.1546962410211563,0.7164179086685181,0.14553697407245636
2,0.6895999908447266,9.999999747378752e-06,0.15550018846988678,0.7201492786407471,0.14789731800556183
3,0.6904000043869019,9.999999747378752e-06,0.15341675281524658,0.7201492786407471,0.1510341316461563
4,0.6895999908447266,9.999999747378752e-06,0.15400011837482452,0.7052238583564758,0.1533501297235489
5,0.6952000260353088,9.999999747378752e-06,0.15378282964229584,0.6977611780166626,0.1577756553888321
6,0.6935999989509583,9.999999747378752e-06,0.15175020694732666,0.6977611780166626,0.15963536500930786
7,0.7111999988555908,9.999999747378752e-06,0.15202492475509644,0.6977611780166626,0.16355000436306
8,0.6984000205993652,9.999999747378752e-06,0.1515701711177826,0.6977611780166626,0.16322290897369385
9,0.7184000015258789,9.999999747378752e-06,0.1483573466539383,0.6977611780166626,0.1626163125038147
10,0.7111999988555908,9.999999747378752e-06,0.14896786212921143,0.6977611780166626,0.1629473865032196
11,0.7135999798774719,4.999999873689376e-06,0.14669665694236755,0.6940298676490784,0.16470086574554443
12,0.7160000205039978,4.999999873689376e-06,0.14772996306419373,0.6940298676490784,0.16520488262176514
13,0.7215999960899353,4.999999873689376e-06,0.14559245109558105,0.6940298676490784,0.16644473373889923
14,0.7215999960899353,4.999999873689376e-06,0.14591118693351746,0.6940298676490784,0.16660867631435394
15,0.7271999716758728,4.999999873689376e-06,0.14473600685596466,0.6940298676490784,0.16695436835289001
16,0.7224000096321106,4.999999873689376e-06,0.14610184729099274,0.6940298676490784,0.16826874017715454
17,0.7031999826431274,4.999999873689376e-06,0.14778682589530945,0.6940298676490784,0.16810351610183716
18,0.7095999717712402,4.999999873689376e-06,0.14646221697330475,0.6940298676490784,0.16847941279411316
19,0.7175999879837036,4.999999873689376e-06,0.14769643545150757,0.6865671873092651,0.1684742122888565
20,0.7128000259399414,4.999999873689376e-06,0.14564171433448792,0.6940298676490784,0.16412247717380524
21,0.7192000150680542,2.499999936844688e-06,0.14403095841407776,0.6865671873092651,0.16326278448104858
22,0.7319999933242798,2.499999936844688e-06,0.14361555874347687,0.6865671873092651,0.16247010231018066
23,0.7232000231742859,2.499999936844688e-06,0.14473502337932587,0.6865671873092651,0.162002831697464
24,0.7287999987602234,2.499999936844688e-06,0.144185870885849,0.6940298676490784,0.1602296531200409
25,0.7376000285148621,2.499999936844688e-06,0.14204804599285126,0.6940298676490784,0.15963882207870483
26,0.7287999987602234,2.499999936844688e-06,0.14163106679916382,0.6940298676490784,0.15909795463085175
27,0.7296000123023987,2.499999936844688e-06,0.1431453973054886,0.6940298676490784,0.15774036943912506
28,0.7160000205039978,2.499999936844688e-06,0.14221709966659546,0.6940298676490784,0.15680435299873352
29,0.7287999987602234,2.499999936844688e-06,0.14590956270694733,0.6940298676490784,0.15686781704425812
30,0.730400025844574,2.499999936844688e-06,0.14206300675868988,0.6940298676490784,0.1567828208208084
