epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2366071492433548,2.1526241302490234,0.001,0.3571428656578064,1.532796859741211
1,0.3727678656578064,1.5072581768035889,0.001,0.3035714328289032,1.616652488708496
2,0.3839285671710968,1.3696056604385376,0.001,0.375,1.6542377471923828
3,0.4598214328289032,1.1741763353347778,0.001,0.4464285671710968,1.401429533958435
4,0.4553571343421936,1.0805548429489136,0.001,0.4107142984867096,1.3515294790267944
5,0.5200892686843872,1.0076062679290771,0.001,0.4285714328289032,1.4299486875534058
6,0.515625,0.9598355293273926,0.001,0.375,1.5209648609161377
7,0.5691964030265808,0.9662116765975952,0.001,0.4821428656578064,1.388127326965332
8,0.5535714030265808,0.9094253778457642,0.001,0.4821428656578064,1.3673391342163086
9,0.5892857313156128,0.8489958047866821,0.001,0.4642857015132904,1.2219513654708862
10,0.5959821343421936,0.7797008752822876,0.001,0.4642857015132904,1.19148850440979
11,0.6383928656578064,0.7510722279548645,0.001,0.4285714328289032,1.206846833229065
12,0.6049107313156128,0.769471287727356,0.001,0.5,1.1846392154693604
13,0.65625,0.7052657008171082,0.001,0.4464285671710968,1.2097622156143188
14,0.6674107313156128,0.7011375427246094,0.001,0.4464285671710968,1.2765756845474243
15,0.6785714030265808,0.678547203540802,0.001,0.4642857015132904,1.2378023862838745
16,0.6316964030265808,0.6993723511695862,0.001,0.5,1.2595237493515015
17,0.65625,0.6570321917533875,0.001,0.4642857015132904,1.250534176826477
18,0.6629464030265808,0.6451963782310486,0.001,0.5,1.1550990343093872
19,0.6741071343421936,0.608733057975769,0.001,0.5892857313156128,1.1281687021255493
20,0.7142857313156128,0.6044326424598694,0.001,0.5535714030265808,1.1382356882095337
21,0.6830357313156128,0.6208717226982117,0.001,0.4642857015132904,1.280518889427185
22,0.7254464030265808,0.5784640312194824,0.001,0.5,1.3138326406478882
23,0.7232142686843872,0.5598785281181335,0.001,0.4821428656578064,1.1287380456924438
24,0.703125,0.5373102426528931,0.001,0.5535714030265808,1.0754077434539795
25,0.7410714030265808,0.5244896411895752,0.001,0.5357142686843872,1.174678921699524
26,0.7209821343421936,0.5320159196853638,0.001,0.5535714030265808,1.197418212890625
27,0.6941964030265808,0.5698185563087463,0.001,0.5714285969734192,1.1075330972671509
28,0.7232142686843872,0.550228476524353,0.001,0.4642857015132904,1.2754714488983154
29,0.7544642686843872,0.5306472182273865,0.001,0.5178571343421936,1.1788593530654907
30,0.7477678656578064,0.4676075577735901,0.001,0.4821428656578064,1.0926311016082764
31,0.7366071343421936,0.5037778615951538,0.001,0.5535714030265808,1.1342471837997437
32,0.7633928656578064,0.5056970119476318,0.001,0.5357142686843872,1.1758697032928467
33,0.7700892686843872,0.46709421277046204,0.0005,0.5357142686843872,1.09986412525177
34,0.7767857313156128,0.46067216992378235,0.0005,0.5357142686843872,1.1040737628936768
35,0.7723214030265808,0.4589398205280304,0.0005,0.5535714030265808,1.0740547180175781
36,0.765625,0.4674772322177887,0.0005,0.5714285969734192,1.1141315698623657
37,0.7723214030265808,0.45315858721733093,0.0005,0.5714285969734192,1.1111748218536377
38,0.78125,0.4414156377315521,0.0005,0.5535714030265808,1.100894570350647
39,0.765625,0.4459082782268524,0.0005,0.5178571343421936,1.0952152013778687
40,0.78125,0.47065091133117676,0.0005,0.5714285969734192,1.1481878757476807
41,0.7790178656578064,0.4339020550251007,0.0005,0.5714285969734192,1.1009873151779175
42,0.7767857313156128,0.4456353187561035,0.0005,0.5357142686843872,1.1359935998916626
43,0.7879464030265808,0.43660444021224976,0.0005,0.5357142686843872,1.104659080505371
44,0.7790178656578064,0.44922134280204773,0.00025,0.5357142686843872,1.092515230178833
45,0.7678571343421936,0.44657227396965027,0.00025,0.5178571343421936,1.1114203929901123
46,0.8102678656578064,0.3853253424167633,0.00025,0.5357142686843872,1.0797044038772583
47,0.7834821343421936,0.44162294268608093,0.00025,0.5535714030265808,1.111742615699768
48,0.8058035969734192,0.4029393494129181,0.00025,0.5357142686843872,1.0954527854919434
49,0.7924107313156128,0.42411497235298157,0.00025,0.5357142686843872,1.1008435487747192
50,0.796875,0.43609288334846497,0.00025,0.5357142686843872,1.117599606513977
