epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5,0.0010000000474974513,1.3714154958724976,0.5819672346115112,0.5354695320129395
1,0.5765306353569031,0.0010000000474974513,1.038598895072937,0.5245901346206665,0.6218605041503906
2,0.6122449040412903,0.0010000000474974513,0.7350435256958008,0.6147540807723999,0.4746461510658264
3,0.6469388008117676,0.0010000000474974513,0.5969552397727966,0.6065573692321777,0.41251012682914734
4,0.6581632494926453,0.0010000000474974513,0.49582934379577637,0.631147563457489,0.35768261551856995
5,0.6530612111091614,0.0010000000474974513,0.49687039852142334,0.6557376980781555,0.34006285667419434
6,0.7010204195976257,0.0010000000474974513,0.4272820055484772,0.6803278923034668,0.389609694480896
7,0.6673469543457031,0.0010000000474974513,0.438364714384079,0.631147563457489,0.4104832112789154
8,0.7061224579811096,0.0010000000474974513,0.38768142461776733,0.631147563457489,0.40122607350349426
9,0.7091836929321289,0.0010000000474974513,0.3806193172931671,0.6803278923034668,0.349265992641449
10,0.7285714149475098,0.0010000000474974513,0.3500213325023651,0.6639344096183777,0.364178329706192
11,0.718367338180542,0.0010000000474974513,0.3894418776035309,0.6803278923034668,0.34106671810150146
12,0.7336734533309937,0.0005000000237487257,0.3444071114063263,0.6475409865379333,0.37124010920524597
13,0.7265306115150452,0.0005000000237487257,0.32643067836761475,0.688524603843689,0.4079895615577698
14,0.7479591965675354,0.0005000000237487257,0.3116398751735687,0.6967213153839111,0.3408719301223755
