epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4422403872013092,2.322511672973633,0.001,0.5271739363670349,1.0724560022354126
1,0.5250875353813171,2.1398732662200928,0.001,0.5271739363670349,1.0524715185165405
2,0.5285881161689758,2.103245735168457,0.001,0.5271739363670349,1.034056544303894
3,0.5309218168258667,2.0640294551849365,0.001,0.5271739363670349,1.0074820518493652
4,0.5309218168258667,2.059495449066162,0.001,0.5271739363670349,0.9925118088722229
5,0.5309218168258667,2.0471410751342773,0.001,0.5271739363670349,0.9838961958885193
6,0.5309218168258667,2.03185772895813,0.001,0.5271739363670349,0.990060567855835
7,0.5309218168258667,2.0238046646118164,0.001,0.5271739363670349,0.9781593084335327
8,0.5309218168258667,2.019697666168213,0.001,0.5271739363670349,0.9719181656837463
9,0.5309218168258667,2.0174460411071777,0.001,0.5271739363670349,0.9757912755012512
10,0.5239206552505493,2.008939504623413,0.001,0.5271739363670349,0.9625540375709534
11,0.5309218168258667,2.020163059234619,0.001,0.5271739363670349,0.9605265259742737
12,0.5309218168258667,2.003167152404785,0.001,0.5271739363670349,0.9767121076583862
13,0.5309218168258667,1.99931001663208,0.001,0.5271739363670349,0.9592113494873047
14,0.5309218168258667,1.997301459312439,0.001,0.5271739363670349,0.9556724429130554
15,0.5309218168258667,1.9828548431396484,0.001,0.5271739363670349,0.9530731439590454
16,0.5309218168258667,1.9916973114013672,0.001,0.5271739363670349,0.9521550536155701
17,0.5309218168258667,1.9948805570602417,0.001,0.5271739363670349,0.9515519142150879
18,0.5309218168258667,1.9969584941864014,0.001,0.5271739363670349,0.9505450129508972
19,0.5309218168258667,1.996118426322937,0.001,0.5271739363670349,0.9523743987083435
20,0.5309218168258667,1.9895663261413574,0.001,0.5271739363670349,0.9513662457466125
21,0.5309218168258667,1.9862223863601685,0.001,0.5271739363670349,0.949057400226593
22,0.5309218168258667,1.9961100816726685,0.001,0.5271739363670349,0.9510089755058289
23,0.5309218168258667,1.9935368299484253,0.001,0.5271739363670349,0.9497527480125427
24,0.5309218168258667,1.9930707216262817,0.001,0.5271739363670349,0.9504947066307068
25,0.5309218168258667,1.9954913854599,0.001,0.5271739363670349,0.9512104392051697
26,0.5309218168258667,1.9931803941726685,0.001,0.5271739363670349,0.9505967497825623
27,0.5309218168258667,1.9899193048477173,0.001,0.5271739363670349,0.9491522312164307
28,0.5309218168258667,1.9991923570632935,0.001,0.5271739363670349,0.9493877291679382
29,0.5309218168258667,1.98845374584198,0.001,0.5271739363670349,0.948994517326355
30,0.5309218168258667,1.9840764999389648,0.001,0.5271739363670349,0.9476856589317322
31,0.5309218168258667,1.9948949813842773,0.001,0.5271739363670349,0.9483062028884888
32,0.5309218168258667,1.9800946712493896,0.001,0.5271739363670349,0.9473745226860046
33,0.5309218168258667,1.9758714437484741,0.001,0.5271739363670349,0.9462076425552368
34,0.5309218168258667,1.9818722009658813,0.001,0.5271739363670349,0.9460368156433105
35,0.5309218168258667,1.992388367652893,0.001,0.5271739363670349,0.9470774531364441
36,0.5309218168258667,1.9934887886047363,0.001,0.5271739363670349,0.9464335441589355
37,0.5309218168258667,1.986839771270752,0.001,0.5271739363670349,0.9467559456825256
38,0.5309218168258667,1.9819071292877197,0.001,0.5271739363670349,0.9464993476867676
39,0.5309218168258667,1.9923944473266602,0.001,0.5271739363670349,0.9466522932052612
