epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5765306353569031,1.7652608156204224,1e-05,0.6147540807723999,0.7427371740341187
1,0.613265335559845,1.5309334993362427,1e-05,0.6229507923126221,0.8118578791618347
2,0.6071428656578064,1.5446938276290894,1e-05,0.5409836173057556,0.858111560344696
3,0.655102014541626,1.4535212516784668,1e-05,0.5327869057655334,0.8968404531478882
4,0.6571428775787354,1.3737199306488037,1e-05,0.5409836173057556,0.9190904498100281
5,0.640816330909729,1.370239496231079,1e-05,0.5491803288459778,0.8958528637886047
6,0.6469388008117676,1.364737629890442,1e-05,0.5737704634666443,0.867429256439209
7,0.6653061509132385,1.286717176437378,1e-05,0.5491803288459778,0.8653613328933716
8,0.668367326259613,1.3263459205627441,1e-05,0.5409836173057556,0.8595482110977173
9,0.6948979496955872,1.212373971939087,1e-05,0.5573770403862,0.8809263110160828
10,0.672448992729187,1.2723759412765503,1e-05,0.5655737519264221,0.8650944828987122
11,0.7030612230300903,1.1551707983016968,5e-06,0.5901639461517334,0.8742432594299316
12,0.7061224579811096,1.1385676860809326,5e-06,0.5573770403862,0.8503262996673584
